GoldID; QID;Name;Working (yes,no,part);Identifier (hp, cf, idf);Unit formula;Units identifier;Formula sympy;Identifier sympy;Sympy rhs;Issue;Module;Code line;Error output;Comment
310;Q11376;acceleration;part;idf;yes;yes;Derivative(v, t);(a, v, t);Subs(Derivative(4, t), t, 8);it says value incorrect even though it is correct;3;;;
311;Q186300;angular acceleration;no;idf;yes;yes;N/A;(\boldsymbol{\alpha}, \boldsymbol{\omega}, t);N/A;substitution of Greek letters in \boldsymbol{\};3;;;
312;Q834020;angular frequency;yes;idf;yes;yes;2*pi*f;(\omega, f);16*pi;;;;;
313;Q161254;angular momentum;part;idf;yes;yes;R*p;(L, r, p);2*R;;3;;;
314;Q161635;angular velocity;no;idf;yes;yes;N/A;N/A;N/A;substitution of Greek letters in \boldsymbol{\};3;;;
315;Q2945123;center of mass;no;cf;no;no;N/A;N/A;N/A;;;;;
316;Q2248131;centripetal acceleration;no;cf, idf;yes;yes;N/A;(v, r, a_c);N/A;index a_c;3;;;
317;Q172881;centripetal force;no;hp;yes;yes;N/A;(F, m, v, r);N/A;;;;;
318;Q843905;;;;;;;;;;;;;
319;Q11382;;;;;;;;;;;;;
320;Q2305665;;;;;;;;;;;;;
321;Q1127660;;;;;;;;;;;;;
322;Q272621;;no;;;;;;;;;;;
323;Q16853908;;;;;;;;;;;;;
324;Q891408;;;;;;;;;;;;;
325;Q849919;;;;;;;;;;;;;
326;Q103438301;;;;;;;;;;;;;
327;Q103439852;;;;;;;;;;;;;
328;Q166530;;;;;;;;;;;;;
329;Q875744;;;;;;;;;;;;;
330;Q11402;;;;;;;;;;;;;
331;Q1068463;;;;;;;;;;;;;
332;Q1322540;;;;;;;;;;;;;
333;Q140028;;;;;;;;;;;;;
334;Q11652;;;;;;;;;;;;;
335;Q82580;;;;;;;;;;;;;
336;Q219207;;;;;;;;;;;;;
337;Q6806305;;;;;;;;;;;;;
338;Q30006;;;;;;;;;;;;;
339;Q11412;;;;;;;;;;;;;
340;Q1544012;;;;;;;;;;;;;
341;Q660488;;;;;;;;;;;;;
342;Q1060137;;;;;;;;;;;;;
343;Q170282;;;;;;;;;;;;;
344;Q497332;;;;;;;;;;;;;
345;Q46276;;;;;;;;;;;;;
346;Q103687426;;;;;;;;;;;;;
347;Q599404;;;;;;;;;;;;;
348;Q172137;;;;;;;;;;;;;
349;Q217255;;;;;;;;;;;;;
350;Q35875;;;;;;;;;;;;;
351;Q6421317;;;;;;;;;;;;;
352;Q165618;;;;;;;;;;;;;
353;Q41273;;;;;;;;;;;;;
354;Q2397319;;;;;;;;;;;;;
355;Q3235565;;;;;;;;;;;;;
356;Q170475;;;;;;;;;;;;;
357;Q20702;;;;;;;;;;;;;
358;Q25342;;;;;;;;;;;;;
359;Q240105;;;;;;;;;;;;;
360;Q11663629;;;;;;;;;;;;;
361;Q96941619;;;;;;;;;;;;;
362;Q676622;;;;;;;;;;;;;
363;Q3711325;;;;;;;;;;;;;
364;Q2111;;;;;;;;;;;;;
365;Q12507;;;;;;;;;;;;;
366;Q3299367;;;;;;;;;;;;;
367;Q824561;;;;;;;;;;;;;
368;Q206175;;;;;;;;;;;;;
369;Q2822927;;;;;;;;;;;;;
370;Q103715245;;;;;;;;;;;;;
371;Q48103;;;;;;;;;;;;;
372;Q376742;;;;;;;;;;;;;
373;Q11465;;;;;;;;;;;;;
374;Q192510;;;;;;;;;;;;;
375;Q42213;;;;;;;;;;;;;
